"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1065,683,1660
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","4","0 Moulton Street, Lynn","4/1/2019 - 6/30/2019, Every day, Daily Average",1397,994,1961
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1127,819,1549
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","9","0 North Main Street, Brockton","4/1/2019 - 6/30/2019, Every day, Daily Average",2829,2009,3982
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","13","200 Liberty Street, Braintree","4/1/2019 - 6/30/2019, Every day, Daily Average",1930,1342,2774
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","14","400 Cushing Street, Hingham","4/1/2019 - 6/30/2019, Every day, Daily Average",2357,1655,3355
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1587,1172,2147
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","17","0 Maggi Road, Revere","4/1/2019 - 6/30/2019, Every day, Daily Average",755,499,1141
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","18","0 Lake Street, Billerica","4/1/2019 - 6/30/2019, Every day, Daily Average",2276,1728,2996
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","19","200 Ocean Street, Lynn","4/1/2019 - 6/30/2019, Every day, Daily Average",1447,1087,1925
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","20","0 Florence Street, Everett","4/1/2019 - 6/30/2019, Every day, Daily Average",1110,814,1512
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","21","0 Canal Lane, Somerville","4/1/2019 - 6/30/2019, Every day, Daily Average",894,617,1293
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","22","200 Chicago Street, Fall River","4/1/2019 - 6/30/2019, Every day, Daily Average",4591,3574,5896
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","23","0 Ocallaghan Way, Lynn","4/1/2019 - 6/30/2019, Every day, Daily Average",1513,1089,2101
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","24","Blue Star Memorial Highway, Bourne","4/1/2019 - 6/30/2019, Every day, Daily Average",4977,3898,6354
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","25","0 Baldpate Road, Georgetown","4/1/2019 - 6/30/2019, Every day, Daily Average",2620,2104,3262
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","4/1/2019 - 6/30/2019, Every day, Daily Average",769,514,1148
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","28","0 Lincoln Road, Brookline","4/1/2019 - 6/30/2019, Every day, Daily Average",1605,1216,2117
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","29","100 Crosby Street, Arlington","4/1/2019 - 6/30/2019, Every day, Daily Average",1612,1168,2223
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","30","0 Stagecoach Way, Hopkinton","4/1/2019 - 6/30/2019, Every day, Daily Average",2744,2062,3650
